id,lat,lng
278,-12.0923844,-77.0149823
279,-12.102630455,-77.0151783273
280,-12.104,-77.014
281,-12.1028711,-77.0113237
282,-12.1087696,-76.9899545
283,-12.071,-77.055
284,-12.1152726407,-76.9839403923
285,-12.1152831305,-76.9839940364
286,-12.1153707,-76.9835015
287,-12.0850459,-77.0872967
288,-12.1133241847,-76.9724973491
289,-12.0916193,-77.0415157
290,-12.0918273,-77.0422314
291,-12.0908581891,-77.0385634434
292,-12.0914787,-77.0406543
293,-12.0926493625,-77.048812163
294,-12.062018588,-76.9358191121
295,-12.0979467,-76.9724533
296,-12.0984229,-76.9767757
297,-12.099,-76.977
298,-12.0975295,-77.0412429
299,-12.1395641,-77.02194
300,-12.1392208431,-77.0219683963
301,-12.1393801,-77.0207645
302,-12.1383898527,-77.0254556032
303,-12.1389557323,-77.0244530228
304,-12.16071058,-76.94042274
305,-12.1224378312,-77.0286425042
306,-12.1219859,-77.023855
307,-12.1217034,-77.0241647
308,-12.0673959,-77.030318
309,-12.0869326,-77.0627204
310,-12.0904875,-77.0569256
311,-12.0693626,-76.9424209
312,-12.0831639,-77.0306964
313,-12.0704347375,-77.0377844865
314,-12.0848154,-77.0356452
315,-12.1150571312,-77.0428295928
316,-12.11236768,-77.04533591
317,-12.1121584,-77.0455343
318,-12.111,-77.047
319,-12.1104166,-77.0466591
320,-12.1029929,-77.0495607
321,-12.1137075,-77.0465154
322,-12.0784837,-77.042581
323,-12.1009029,-77.0573971
324,-12.1024714,-77.0578167
325,-12.08543228,-77.04908276
326,-12.0905939,-77.0458088
327,-12.0893373,-77.0571099
328,-12.1011414,-77.0135949
329,-12.0991712322,-77.0130151258
330,-12.1840451281,-76.997107602
331,-12.18404513,-76.9971076
332,-12.0322786,-77.0330455
333,-12.060648,-76.9426075
334,-12.0796324,-77.0332566
335,-12.0873278,-77.0319451
336,-12.0924242,-77.0318399
337,-12.0834007571,-76.9852674243
338,-12.0703609,-76.9544232
339,-12.0904434,-77.0196144
340,-12.10669005,-76.99711206
341,-12.1066900454,-76.9971120593
342,-12.1110388,-77.0395504
343,-12.1106561,-77.0399713
344,-12.1060186709,-77.0106733081
345,-12.126922,-77.029599
346,-12.126878533,-77.0296185169
347,-12.1287372,-77.02965
348,-12.1188357,-77.0410115
349,-12.1193049,-77.0322273
350,-12.1189009,-77.0341842
351,-12.1190091,-77.0387931
352,-12.1189972,-77.0380201
353,-12.1186564,-77.0387246
354,-12.1190038,-77.0369926344
355,-12.1192308,-77.034118
356,-11.9950243,-77.0651612
357,-12.093928,-77.0595669
358,-12.0927473,-77.0582453
359,-12.094634,-77.0596343
360,-12.0143061,-77.073439
361,-12.0627118,-77.066794
362,-12.0802829634,-77.0889309104
363,-12.0717408,-77.1044932
364,-12.08399963,-77.06500244
365,-12.128,-77.027
366,-12.1315153,-77.0257829
367,-12.08415212,-77.0956069
368,-12.084,-77.097
369,-12.0888274247,-77.0851208678
370,-12.0786669,-77.1078998
371,-12.0888697392,-77.0860322608
372,-12.087769,-77.0883549
373,-12.1223322,-77.0268107
374,-12.12276215,-77.02673183
375,-12.1244769,-77.0266515
376,-12.1269899,-77.0269811
377,-12.10304199,-76.97742776
378,-12.17036999,-77.00005066
379,-12.1776428,-77.0058905
380,-12.077,-76.971
381,-12.2108135,-76.9062234
382,-12.2231079,-76.9341128
383,-11.9815573,-77.096882
384,-11.9379267,-77.0632805
385,-12.0997587,-77.0362967
386,-12.1010334,-77.0368342
387,-12.10337898,-77.03710169
388,-12.0606021691,-76.9421062101
389,-12.1775803,-76.9996561
390,-12.1304499,-77.008503
391,-12.1750517,-76.9975728
392,-12.1769179,-76.9988916
393,-12.0903420435,-76.9475919963
394,-12.10630647,-76.94032646
395,-12.0548819,-76.9806854
396,-12.05528,-76.9794246
397,-12.01486772,-77.08697241
398,-12.0750335,-76.9797687
399,-12.0290082,-76.9350683
400,-12.077,-77.091
401,-12.1678939,-77.0313937
402,-12.0811374,-77.0592326
403,-12.0969461,-76.9728031
404,-12.10048938,-76.97258943
405,-12.1011789,-76.9728216
